Sum of word_count,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,80,82,83,84,85,86,87,88,89,90,91,92,Grand Total
Biden,,,300,,100,,184,,120,89,29,240,,,163,136,,,159,3,365,,174,,,89,,172,,17,268,12,148,,172,28,61,,,346,,183,,103,120,81,33,143,94,138,,76,69,53,187,121,2,33,341,,,278,5,90,66,,108,167,,98,8,324,,124,,109,13,153,28,96,18,175,,7012
Trump,,371,,81,78,217,,228,,61,105,,132,130,,111,147,156,,173,,401,,112,131,95,159,,85,185,,168,9,257,,29,122,,390,,,,205,78,39,66,112,159,,,154,61,91,76,,65,146,32,,370,,,114,52,42,179,67,46,75,90,289,6,229,,109,82,207,,18,63,198,,,7653
Welker,123,81,22,43,104,10,5,4,38,22,17,77,15,65,5,11,5,52,17,116,,52,13,4,67,41,16,50,28,56,63,39,22,97,27,45,53,122,,41,61,4,13,27,29,92,10,38,3,49,46,78,37,20,56,9,5,152,,34,18,,,73,92,12,38,91,,15,100,11,,37,11,16,79,18,11,59,44,25,64,3245
Grand Total,123,452,322,124,282,227,189,232,158,172,151,317,147,195,168,258,152,208,176,292,365,453,187,116,198,225,175,222,113,258,331,219,179,354,199,102,236,122,390,387,61,187,218,208,188,239,155,340,97,187,200,215,197,149,243,195,153,217,341,404,18,278,119,215,200,191,213,304,75,203,397,341,229,161,120,207,299,171,57,218,260,200,64,17910
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,80,82,83,84,85,86,87,88,89,90,91,92,
Biden,,0,300,300,400,400,584,584,704,793,822,1062,1062,1062,1225,1361,1361,1361,1520,1523,1888,1888,2062,2062,2062,2151,2151,2323,2323,2340,2608,2620,2768,2768,2940,2968,3029,3029,3029,3375,3375,3558,3558,3661,3781,3862,3895,4038,4132,4270,4270,4346,4415,4468,4655,4776,4778,4811,5152,5152,5152,5430,5435,5525,5591,5591,5699,5866,5866,5964,5972,6296,6296,6420,6420,6529,6542,6695,6723,6819,6837,7012,7012,
Trump,,371,371,452,530,747,747,975,975,1036,1141,1141,1273,1403,1403,1514,1661,1817,1817,1990,1990,2391,2391,2503,2634,2729,2888,2888,2973,3158,3158,3326,3335,3592,3592,3621,3743,3743,4133,4133,4133,4133,4338,4416,4455,4521,4633,4792,4792,4792,4946,5007,5098,5174,5174,5239,5385,5417,5417,5787,5787,5787,5901,5953,5995,6174,6241,6287,6362,6452,6741,6747,6976,6976,7085,7167,7374,7374,7392,7455,7653,7653,7653,
Welker,123,204,226,269,373,383,388,392,430,452,469,546,561,626,631,642,647,699,716,832,832,884,897,901,968,1009,1025,1075,1103,1159,1222,1261,1283,1380,1407,1452,1505,1627,1627,1668,1729,1733,1746,1773,1802,1894,1904,1942,1945,1994,2040,2118,2155,2175,2231,2240,2245,2397,2397,2431,2449,2449,2449,2522,2614,2626,2664,2755,2755,2770,2870,2881,2881,2918,2929,2945,3024,3042,3053,3112,3156,3181,3245,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,80,82,83,84,85,86,87,88,89,90,91,92,
Biden,,0,300,300,400,400,584,584,704,793,822,1062,1062,1062,1225,1361,1361,1361,1520,1523,1888,1888,2062,2062,2062,2151,2151,2323,2323,2340,2608,2620,2768,2768,2940,2968,3029,3029,3029,3375,3375,3558,3558,3661,3781,3862,3895,4038,4132,4270,4270,4346,4415,4468,4655,4776,4778,4811,5152,5152,5152,5430,5435,5525,5591,5591,5699,5866,5866,5964,5972,6296,6296,6420,6420,6529,6542,6695,6723,6819,6837,7012,7012,
Trump,,371,371,452,530,747,747,975,975,1036,1141,1141,1273,1403,1403,1514,1661,1817,1817,1990,1990,2391,2391,2503,2634,2729,2888,2888,2973,3158,3158,3326,3335,3592,3592,3621,3743,3743,4133,4133,4133,4133,4338,4416,4455,4521,4633,4792,4792,4792,4946,5007,5098,5174,5174,5239,5385,5417,5417,5787,5787,5787,5901,5953,5995,6174,6241,6287,6362,6452,6741,6747,6976,6976,7085,7167,7374,7374,7392,7455,7653,7653,7653,
Welker,123,204,226,269,373,383,388,392,430,452,469,546,561,626,631,642,647,699,716,832,832,884,897,901,968,1009,1025,1075,1103,1159,1222,1261,1283,1380,1407,1452,1505,1627,1627,1668,1729,1733,1746,1773,1802,1894,1904,1942,1945,1994,2040,2118,2155,2175,2231,2240,2245,2397,2397,2431,2449,2449,2449,2522,2614,2626,2664,2755,2755,2770,2870,2881,2881,2918,2929,2945,3024,3042,3053,3112,3156,3181,3245,
